Modalidad;actividad;descripcion_actividad;lugar;dirección;calle;altura;barrio ;comuna;fecha_ini;fecha_fin;tipo;tipo_actividad;disciplina;publico_objetivo;se_suspende_por_lluvia;Gratuita;long;lat;Links
Presencial;Visita Museo Fernández Blanco;;MUSEO DE ARTE HISPANOAMÉRICANO ISAAC FERNÁNDEZ BLANCO;SUIPACHA 1422;SUIPACHA;1422.0;RETIRO;1;2021-07-23;2021-07-23;Actividad;Visita / Recorrido;Mixto;Pre-adolescentes (8-12);No;si;-58.37993205451257;-34.59090095695328;
Presencial;Visita Usina Del Arte;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-27;2021-07-27;Actividad;Visita / Recorrido;Mixto;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Virtual;"BA Audiovisual presenta ""Marilyn"" una película de Martín Rodríguez Redondo";;;;;;;;2021-06-28;2021-06-28;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;No;si;;;https://vivamoscultura.buenosaires.gob.ar/?contenido=5785-marilyn
Presencial;Muestra - Fenómeno impreso;;CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;2;2021-07-01;2021-09-30;Actividad;Exposición;Artes Visuales;Público General;No;si;-58.39157827082086;-34.58649649707381;
Virtual;Tres en Uno;;;;;;;;2021-07-17;2021-08-01;Actividad;Formación;Artes Escénicas;Niños (4-7);No;si;;;https://teatrocolon.org.ar/es/tres-en-uno
Virtual;El Gato con Botas;;;;;;;;2021-07-17;2021-07-31;Actividad;Formación;Música;Niños (4-7);No;si;;;https://teatrocolon.org.ar/es/el-gato-con-botas
Virtual;Coloreá las escenas;;;;;;;;2021-07-17;2021-07-31;Actividad;Formación;Artes Escénicas;Niños (4-7);No;si;;;https://teatrocolon.org.ar/es/colorea-las-escenas
Virtual;Canción animal;;;;;;;;2021-07-17;2021-07-31;Actividad;Formación;Música;Niños (4-7);No;si;;;https://teatrocolon.org.ar/es/cancion-animal
Virtual;A este ensayo le falta tu parte;;;;;;;;2021-07-17;2021-07-31;Actividad;Formación;Artes Escénicas;Niños (4-7);No;si;;;https://teatrocolon.org.ar/es/este-ensayo-le-falta-tu-parte
Virtual;Una sopa muy sonora;;;;;;;;2021-07-17;2021-07-31;Actividad;Función / Exhibición;Música;Pre-adolescentes (8-12);No;si;;;https://teatrocolon.org.ar/es/una-sopa-muy-sonora
Virtual;Arma tu propio kazoo;;;;;;;;2021-07-17;2021-07-31;Actividad;Formación;Música;Niños (4-7);No;si;;;https://teatrocolon.org.ar/es/arma-tu-propio-kazoo
