grupo,culto,nombre_institucion,domicilio,barrio,cgpc,cp,lat,long
Cristianos,Católico Apostólico Romano ,Nuestra Señora Del Carmelo,Marcelo Torcuato de Alvear 2465,Recoleta,2.0,C1122AAM,,
Cristianos,Católico Apostólico Romano ,Nuestra Señora De Los Dolores,Díaz Vélez 4850,Caballito,6.0,C1405DCQ,-34.608842,-58.435558
Cristianos,Católico Apostólico Romano ,Nuestra Señora De Loreto,Juncal 3115,Palermo,14.0,C1425AYO,-34.585997,-58.408365
Cristianos,Católico Apostólico Romano ,Nuestra Señora De Lujan (castrense),Avda. Cabildo 425,Palermo,14.0,C1426AAE,-34.57188,-58.440923
Cristianos,Católico Apostólico Romano ,Nuestra Señora De Los Remedios,Francisco Bilbao 4310,Parque Avellaneda,9.0,C1407HPB,-34.649963,-58.479349
Cristianos,Católico Apostólico Romano ,Nuestra Señora De Lujan De Los Patriotas,Avda. Emilio Castro  7156,Mataderos,9.0,C1408IGV,-34.653466,-58.518503
Cristianos,Católico Apostólico Romano ,Nuestra Señora De Lourdes,Cap. Gral. Ramon Freire 2490,Belgrano,13.0,C1428CZJ,-34.563212,-58.467384
Cristianos,Católico Apostólico Romano ,Nuestra Señora Del Perpetuo Socorro,Irigoyen 1185,Villa Luro,10.0,C1407GJH,-34.629502,-58.515015
Cristianos,Católico Apostólico Romano ,Nuestra Señora De Lujan Del Buen Viaje,Grecia 4328,Nuñez,13.0,C1429BEH,-34.541069,-58.467381
Cristianos,Católico Apostólico Romano ,Nuestra Señora De Montserrat,Avda. Belgrano 1151,Montserrat,1.0,C1092AAL,-34.613112,-58.382704
Cristianos,Católico Apostólico Romano ,Nuestra Señora De Lujan Porteño,Avda. Francisco Bilbao  3474,Parque Avellaneda,9.0,C1406FGR,-34.641765,-58.469762
Cristianos,Católico Apostólico Romano ,Nuestra Señora Del Buen Consejo,Cardoso 242,Velez Sarfield,10.0,C1407BBD,-34.633738,-58.492781
Cristianos,Católico Apostólico Romano ,Nuestra Señora Del Carmen (centro),Rodriguez Peña 840,Recoleta,2.0,C1020ADR,-34.599072,-58.39166
Cristianos,Católico Apostólico Romano ,Nuestra Señora Del Rosario Del Milagro,Montiel Y Crisóstomo Alvarez,Villa Lugano,8.0,1439,-34.677286,-58.492317
Cristianos,Católico Apostólico Romano ,Nuestra Señora Del Rosario,Bonpland 1987,Palermo,14.0,C1414CMY,-34.581151,-58.434747
Cristianos,Católico Apostólico Romano ,Nuestra Señora Del Pilar,Junín 1898,Recoleta,2.0,C1113AAX,-34.586915,-58.391776
Cristianos,Católico Apostólico Romano ,Nuestra Señora Del Carmen (lugano),Avda. Eva Peron 6378,Villa Lugano,8.0,C1439BTO,-34.667045,-58.492691
Cristianos,Católico Apostólico Romano ,Nuestra Señora Del Valle,Avda. Córdoba  3329,Recoleta,2.0,C1187AAH,-34.597846,-58.413688
Cristianos,Católico Apostólico Romano ,Nuestra Señora Madre De Los Emigrantes,Necochea  312,Boca,4.0,C1158ACB,-34.628143,-58.364338
Cristianos,Católico Apostólico Romano ,Patrocinio De La Virgen,Uspallata 3480,Nueva Pompeya,4.0,C1437JCR,,
Cristianos,Católico Apostólico Romano ,Nuestra Señora Del Rosario De Pompeya,Avda. Saenz Esquina Esquiu,Nueva Pompeya,4.0,C1437JPB,,
Cristianos,Católico Apostólico Romano ,Patrocinio De San José,Ayacucho 1072,Recoleta,2.0,C1111AAF,-34.596333,-58.396156
Cristianos,Católico Apostólico Romano ,Nuestra Señora Del Socorro,Juncal 888,Retiro,1.0,C1062ABT,-34.592905,-58.37989
Cristianos,Católico Apostólico Romano ,Nuestra Señora Del Carmen,Avda. Triunvirato Esquina Cullen,Villa Urquiza,12.0,C1431FCP,,
Cristianos,Católico Apostólico Romano ,Resurrección Del Señor,Dorrego 892,Chacarita,15.0,C1414CKQ,-34.590935,-58.446887
Cristianos,Católico Apostólico Romano ,Sacratísimo Corazón De Jesús,Moliére 856,Villa Luro,10.0,C1407BTP,-34.63105,-58.506765
Cristianos,Católico Apostólico Romano ,Purisimo Corazón De María,Antonio. Lopez 2781,Villa Pueyrredón,12.0,C1419ETM,-34.584414,-58.501468
Cristianos,Católico Apostólico Romano ,San Agustín,Avda. Las Heras 2560,Recoleta,2.0,C1425ASP,-34.585504,-58.399539
Cristianos,Católico Apostólico Romano ,Sagrada Eucaristía,Avda. Santa Fé 4310,Palermo,14.0,C1425BHS,-34.580343,-58.423094
Cristianos,Católico Apostólico Romano ,Sagrado Corazón De Jesús,Avda. Velez Sarsfield 1351,Barracas,4.0,C1285AAC,-34.65068,-58.389158
Cristianos,Católico Apostólico Romano ,Reina De Los Apostoles,Avellaneda 2679,Flores,7.0,C1406FYL,-34.625324,-58.468509
