long,lat,id,nombre,tipo,etapa,etapa_obse,estado,subcategor,calle_nombre,calle_altura,calle_cruce,barrio,comuna,codigo_postal,codigo_postal_argentino,objeto
-58.3802370529598,-34.5910625898017,121,Museo Fernández Blanco,Museos,Gestión previa HRL,,Disponible,Museos,SUIPACHA,1422,,Retiro,Comuna 1,1011,C1011ACF,SITIO WIFI
-58.3790730227328,-34.6389385776601,120,Museo del Cine Pablo Ducros Hicken,Museos,Gestión previa HRL,,Disponible,Museos,"SALMUN FEIJOO, JOSE AARON",555,,Barracas,Comuna 4,1274,C1274AGE,SITIO WIFI
-58.3570953812576,-34.6294879750609,119,Museo del Cine,Museos,Gestión previa HRL,,Disponible,Museos,"CAFFARENA, AGUSTIN R.",49,,Boca,Comuna 4,1157,C1157ADA,SITIO WIFI
-58.3722231289722,-34.6104476482741,117,Museo de la Ciudad,Museos,Gestión previa HRL,,Disponible,Museos,DEFENSA,219,,Monserrat,Comuna 1,1065,C1065AAC,SITIO WIFI
-58.3705271174278,-34.6219734371874,116,Museo de Arte Moderno (MAMBA),Museos,Gestión previa HRL,,Disponible,Museos,SAN JUAN AV.,350,,San Telmo,Comuna 1,1147,C1147AAO,SITIO WIFI
-58.4077622868369,-34.6016784123375,115,Museo Carlos Gardel,Museos,Gestión previa HRL,,Disponible,Museos,"JAURES, JEAN",735,,Balvanera,Comuna 3,1215,C1215ACM,SITIO WIFI
-58.5264579247518,-34.6348297946947,114,Miguel Cané,Biblioteca,Gestión previa HRL,,Disponible,Biblioteca,"JUSTO, JUAN B. AV.",9668,,Liniers,Comuna 9,1408,C1408ALN,SITIO WIFI
-58.3890008786666,-34.5995792789846,113,Manuel Gálvez,Biblioteca,Gestión previa HRL,5ta. ETAPA / Noviembre 2012 (Bibliotecas Públicas),Disponible,Biblioteca,CORDOBA AV.,1558,,San Nicolas,Comuna 1,1055,C1055AAS,SITIO WIFI
-58.452597381931,-34.5636772401267,112,Leopoldo Lugones,Biblioteca,Gestión previa HRL,5ta. ETAPA / Noviembre 2012 (Bibliotecas Públicas),Disponible,Biblioteca,LA PAMPA,2215,,Belgrano,Comuna 13,1428,C1428EAM,SITIO WIFI
-58.4299312778028,-34.5978075534664,111,Julio Cortázar,Biblioteca,Gestión previa HRL,5ta. ETAPA / Noviembre 2012 (Bibliotecas Públicas),Disponible,Biblioteca,LAVALLEJA,924,,Villa Crespo,Comuna 15,1414,C1414DTT,SITIO WIFI
-58.4743663619951,-34.6651895954544,110,Julio César Saguier,Biblioteca,Gestión previa HRL,5ta. ETAPA / Noviembre 2012 (Bibliotecas Públicas),Disponible,Biblioteca,ESCALADA AV.,0,"DELLEPIANE, LUIS, TTE. GRAL.",Villa Lugano,Comuna 8,,,SITIO WIFI
